PacketCounter;Acc_X;Acc_Y;Acc_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3;label
1557;-3.535225;8.75227;-2.154661;0;0;-0.130611;0.022977;-0.023229;-0.010067;0.586182;-0.666016;0.491943;0.605198;0.633234;0.458535;0.149984;POINTING
1558;-3.513745;8.809196;-2.089327;0.120864;-0.007902;-0.101923;0.03399;-0.025065;-0.006045;0.579834;-0.661865;0.499512;0.604215;0.630853;0.462789;0.150918;POINTING
1559;-3.500176;8.840289;-2.133365;0.114784;0.035245;-0.069035;0.038785;-0.020551;-0.008547;0.583984;-0.667725;0.495361;0.604146;0.630966;0.462783;0.150738;POINTING
1560;-3.500645;8.859025;-2.205775;0.075302;0.085868;-0.035713;0.017385;-0.016243;-0.006089;0.58374;-0.66626;0.503418;0.604084;0.631044;0.462779;0.150673;POINTING
1561;-3.521382;8.878861;-2.225867;0.058449;0.088218;-0.00567;-0.004029;-0.003555;-0.014606;0.583252;-0.661377;0.498047;0.604116;0.631001;0.462811;0.150627;POINTING
1562;-3.570866;8.867198;-2.279505;-0.012102;0.089343;0.014128;-0.01031;0.009554;-0.020225;0.585205;-0.667969;0.488037;0.604087;0.630946;0.462908;0.150672;POINTING
1563;-3.561868;8.787986;-2.249759;-0.018857;0.067608;-0.067325;-0.015793;0.006857;-0.020992;0.584961;-0.666016;0.490723;0.604136;0.630845;0.462983;0.150667;POINTING
1564;-3.509514;8.785593;-2.273959;-0.0044;0.123994;-0.08341;-0.016438;0.001216;-0.02007;0.593506;-0.670898;0.492676;0.604225;0.630736;0.46303;0.150626;POINTING
1565;-3.477129;8.784058;-2.247312;0.032683;0.13017;-0.10277;-0.014361;-0.003771;-0.013671;0.592285;-0.666992;0.495361;0.60429;0.630663;0.463051;0.150606;POINTING
1566;-3.463704;8.796521;-2.217505;0.066058;0.122304;-0.103206;0.000083;-0.010609;0.002038;0.579834;-0.66333;0.498291;0.604349;0.630659;0.462999;0.150544;POINTING
